symbol,sector
ABCB,Financials
ADUS,Health Care
AGX,Industrials
AIR,Industrials
AMBA,Information Technology
AMCX,Communication Services
AMN,Health Care
AMPH,Health Care
APOG,Industrials
ARES,Financials
ASGN,Information Technology
ATKR,Industrials
ATSG,Industrials
AUD,Communication Services
AVA,Utilities
AVNT,Materials
AWR,Utilities
AX,Financials
AZTA,Health Care
BAND,Communication Services
BCML,Financials
BEAT,Health Care
BJ,Consumer Staples
BRBR,Consumer Staples
BTE,Energy
CALY,Consumer Discretionary
CARG,Communication Services
CARS,Communication Services
CBNK,Financials
CCF,Materials
CCRD,Information Technology
CDNA,Health Care
CDRE,Industrials
CENT,Consumer Staples
CHRD,Energy
CMC,Materials
CNMD,Health Care
COLL,Health Care
CRGY,Energy
CRVL,Health Care
CSV,Consumer Discretionary
CSW,Industrials
CTBI,Financials
CTLT,Health Care
CTRE,Real Estate
CVCO,Consumer Discretionary
CVSA,Consumer Discretionary
DCO,Industrials
DGII,Information Technology
DHIL,Financials
DORM,Consumer Discretionary
DV,Communication Services
DY,Industrials
EBS,Health Care
ECPG,Financials
ELF,Consumer Staples
ENSG,Health Care
ENVA,Financials
EPRT,Real Estate
EVRI,Consumer Discretionary
EYE,Consumer Discretionary
FIZZ,Consumer Staples
FLXS,Consumer Discretionary
FONR,Health Care
FSS,Industrials
FUN,Consumer Discretionary
GIC,Industrials
GLDD,Industrials
GMED,Health Care
GMS,Industrials
GOGO,Communication Services
GOLF,Consumer Discretionary
GOOD,Real Estate
GRBK,Consumer Discretionary
GSBC,Financials
GTES,Industrials
HALO,Health Care
HCCI,Industrials
HLIT,Information Technology
HOMB,Financials
HUBG,Industrials
HWKN,Materials
IIPR,Real Estate
IMAX,Communication Services
IMMR,Information Technology
INVA,Health Care
IPAR,Consumer Staples
ITIC,Financials
IWM,Funds
KFY,Industrials
KMPR,Financials
LBRT,Energy
LGND,Health Care
LRN,Consumer Discretionary
LUMN,Communication Services
MANT,Industrials
MBUU,Consumer Discretionary
MCBC,Financials
MCRI,Consumer Discretionary
MED,Consumer Staples
MEI,Information Technology
MGPI,Consumer Staples
MIME,Information Technology
MNR,Energy
MOG A,Industrials
MRLN,Financials
MTRN,Materials
MTX,Materials
MYGN,Health Care
MYRG,Industrials
MZTI,Consumer Staples
NATL,Financials
NEO,Health Care
NMIH,Financials
NMRK,Real Estate
NVEC,Information Technology
NVEE,Industrials
NVRI,Industrials
NWE,Utilities
NXST,Communication Services
OEC,Materials
OGS,Utilities
OPK,Health Care
ORA,Utilities
OTTR,Utilities
OXM,Consumer Discretionary
PAYO,Financials
PBH,Health Care
PENG,Information Technology
PFBC,Financials
PGNY,Health Care
PLAY,Consumer Discretionary
PLNT,Consumer Discretionary
POR,Utilities
PRDO,Consumer Discretionary
PRFT,Information Technology
PRGS,Information Technology
QLYS,Information Technology
QRVO,Information Technology
RAMP,Information Technology
RGEN,Health Care
RHP,Real Estate
RLJ,Real Estate
ROCC,Energy
RPD,Information Technology
SASR,Financials
SAVEQ,Industrials
SEE,Materials
SLAB,Information Technology
SLQT,Financials
SMTC,Information Technology
SPSC,Information Technology
SSD,Industrials
SSTK,Communication Services
STAG,Real Estate
STRA,Consumer Discretionary
SUPN,Health Care
TDS,Communication Services
TECD,Information Technology
TGNA,Communication Services
TH,Consumer Discretionary
THR,Industrials
TREX,Industrials
TRHC,Health Care
TROX,Materials
TTEC,Industrials
TWNK,Consumer Staples
UFPT,Health Care
UNFI,Consumer Staples
UNTY,Financials
UPLD,Information Technology
UVE,Financials
VECO,Information Technology
VIAV,Information Technology
VNDA,Health Care
VRNT,Information Technology
VSH,Information Technology
WASH,Financials
WLDN,Industrials
WSFS,Financials
WTBA,Financials
YETI,Consumer Discretionary
ZAGG,Consumer Discretionary
ZD,Communication Services
ZUMZ,Consumer Discretionary
