symbol,shares,price,market_value
ATKR,785.0,163.13,128057.05
CHRD,729.0,168.27,122668.83
ENVA,2082.0,55.17,114863.94
STAG,2239.0,39.59,88642.01000000001
AMPH,1345.0,62.29,83780.05
IWM,401.0,199.52,80007.52
OXM,733.0,100.02,73314.66
HUBG,1509.0,45.615,68833.035
WASH,2129.0,32.09,68319.61
PFBC,923.0,73.46,67803.57999999999
PBH,1068.0,61.99,66205.32
PRFT,1018.0,64.46,65620.28
PRGS,1207.0,54.29,65528.03
ENSG,531.0,114.65,60879.15
CMC,1164.0,50.18,58409.52
PGNY,1454.0,37.21,54103.340000000004
NWE,999.0,51.16,51108.84
TH,4513.0,9.82,44317.66
NVEC,452.0,75.84,34279.68
TGNA,2045.0,15.49,31677.05
CASH,0.0,,16341.0
TOTAL,27326.0,,1444760.1549999998
